dataset_name,model_name,train_size,test_accuracy,test_auc_roc,best_training_time_sec,test_inference_time_per_sample_sec,source
Adult (Census Income),random_forest,500,0.8351929573139523,0.8871365349352048,0.487377405166626,1.0065832771631625e-05,scaling_subsample_main_best_params
Adult (Census Income),random_forest,1000,0.8445081379875116,0.8946075206412828,0.5725021362304688,1.0005087163751208e-05,scaling_subsample_main_best_params
Adult (Census Income),random_forest,2000,0.8578155389497389,0.9055430289429791,0.6151127815246582,9.981462515929495e-06,scaling_subsample_main_best_params
Adult (Census Income),random_forest,5000,0.8637526870713481,0.9097524427470108,0.6411235332489014,1.0006087794495722e-05,scaling_subsample_main_best_params
Adult (Census Income),random_forest,10000,0.8666188965093664,0.9134919502940022,0.7633883953094482,1.1069074918333224e-05,scaling_subsample_main_best_params
Adult (Census Income),random_forest,20000,0.86764254273723,0.9162014801931979,1.0613791942596436,1.1205868462796757e-05,scaling_subsample_main_best_params
Adult (Census Income),random_forest,29305,0.8685638243423073,0.9178874501990887,1.3757579326629639,1.1125549541328517e-05,full_run_reused
Adult (Census Income),xgboost,500,0.8277203398505476,0.8730545426247683,0.12383127212524414,9.713928022725346e-07,scaling_subsample_main_best_params
Adult (Census Income),xgboost,1000,0.8419490224178524,0.8899683187405683,0.1453385353088379,9.942852812567975e-07,scaling_subsample_main_best_params
Adult (Census Income),xgboost,2000,0.8519807554509161,0.9014088438844094,1.7079308032989502,2.158116459639049e-06,scaling_subsample_main_best_params
Adult (Census Income),xgboost,5000,0.8662094380182209,0.9155363936179777,0.2637827396392822,1.0210582550795446e-06,scaling_subsample_main_best_params
Adult (Census Income),xgboost,10000,0.8725560446309756,0.9238484792914889,2.523470401763916,2.9711411423711967e-06,scaling_subsample_main_best_params
Adult (Census Income),xgboost,20000,0.8749104309550619,0.9276629565714294,3.459050178527832,2.249954837483166e-06,scaling_subsample_main_best_params
Adult (Census Income),xgboost,29305,0.8766506295424301,0.9290807622887912,0.5824475288391113,1.0697962940257848e-06,full_run_reused
Adult (Census Income),xrfm,500,0.8285392568328386,0.8415176970587344,0.13295841217041016,1.3211254502943782e-06,scaling_subsample_main_best_params
Adult (Census Income),xrfm,1000,0.8343740403316614,0.8555617008672546,0.19288039207458496,2.052781769557941e-06,scaling_subsample_main_best_params
Adult (Census Income),xrfm,2000,0.8394922714709796,0.856848906719694,0.42412257194519043,4.04606261825913e-06,scaling_subsample_main_best_params
Adult (Census Income),xrfm,5000,0.8491145460128979,0.8845895209983746,2.746586322784424,1.0232523210291024e-05,scaling_subsample_main_best_params
Adult (Census Income),xrfm,10000,0.8609888422561163,0.9052569927910488,4.650207042694092,2.0654604932597794e-05,scaling_subsample_main_best_params
Adult (Census Income),xrfm,20000,0.8624219469751254,0.9068609133886331,7.371656656265259,3.620423586296076e-05,scaling_subsample_main_best_params
Adult (Census Income),xrfm,29305,0.8603746545193981,0.9067272917110584,12.6610586643219,3.8284376341411405e-05,full_run_reused
